codeInsee,CodePostal,NomOrganisme,NomCommune,Email,Téléphone,Url,Adresse,Latitude,Longitude,dateMiseAJour
26127,26170,Mairie d'Eygaliers,Eygaliers,mairie.eygaliers@orange.fr,04 75 28 15 40,http://www.eygaliers.fr,Le Village,44.2400779724,5.28006982803,2016-12-16
54063,54470,Mairie de Bernécourt,Bernécourt,mairie.bernecourt@wanadoo.fr,03 83 23 14 54,"",12 Grande rue,48.841999054,5.8428401947,2017-06-13
28219,28480,Mairie de Luigny,Luigny,mairie.luigny@orange.fr,02 37 29 41 06,"",2 rue du Général-Lebreton,48.2402759,1.0244966,2017-05-10
10290,10160,Mairie de Planty,Planty,mairie.planty@wanadoo.fr,03 25 40 86 63,"",31 Grande rue,48.2720985413,3.6518599987,2017-07-10
46253,46310,Mairie de Saint-Chamarand,Saint-Chamarand,mairie-st-chamarand@info46.fr,05 65 24 50 62,"",Le Bourg,44.6786346436,1.4613339901,2017-10-09
38426,38530,Mairie de Saint-Maximin,Saint-Maximin,mairie@stmaximin38.fr,04 76 97 60 19,http://www.stmaximin38.fr,Répidon,45.426423,6.037931,2016-12-16
67198,67290,Mairie d'Hinsbourg,Hinsbourg,mairie-hinsbourg@wanadoo.fr,+33 3 88 01 56 51,"","3, rue Principale",48.9141998291,7.31536006927,2013-02-27
80048,80140,Mairie d'Avesnes-Chaussoy,Avesnes-Chaussoy,mairie.avesnes-chaussoy@laposte.net,+33 3 22 25 15 11,"",25 rue Principale,49.8425875,1.8392942,2017-02-27
77373,77340,Mairie de Pontault-Combault,Pontault-Combault,maire@pontault-combault.fr,01 70 05 47 00,http://www.pontault-combault.fr,107 avenue de la République,48.8031355,2.6108069,2017-05-10
35081,35590,Mairie de Clayes,Clayes,mairie@clayes.fr,02 99 61 20 30,http://www.clayes.fr,Place de la Mairie,48.2151985168,-1.89271998405,2017-02-21
30170,30120,Mairie de Molières-Cavaillac,Molières-Cavaillac,mairie.molieres-cavaillac@wanadoo.fr,04 67 81 03 99,http://www.molierescavaillac.fr,Place du Jeu-de-Boules,43.9755783081,3.57632899284,2016-07-06
30331,30330,Mairie de Tresques,Tresques,mairie@tresques.fr,04 66 82 01 17,http://www.tresques.fr,4 place de la Mairie,44.0927516,4.5945997,2017-07-10
95387,95810,Mairie de Menouville,MENOUVILLE,"",+33 1 34 66 53 82,"",28 rue de la Mairie,49.1817016602,2.11142992973,2016-05-02
35164,35560,Mairie de Marcillé-Raoul,Marcillé-Raoul,marcille-raoul@wanadoo.fr,02 99 73 64 16,http://www.marcille-raoul.fr,16 rue de la Mairie,48.385553,-1.604002,2017-02-21
78036,78770,Mairie d’Autouillet,Autouillet,mairie.autouillet@orange.fr,01 34 87 43 59,http://www.autouillet.fr,33 route des Châteaux,48.8503990173,1.80316996574,2017-05-10
45322,45210,Mairie de Thorailles,Thorailles,thorailles.mairie@wanadoo.fr,02 38 92 04 46,"",Le Bourg,48.0121002197,2.89473009109,2017-05-10
16054,16350,Mairie du Bouchage,Le Bouchage,mairie-lebouchage@wanadoo.fr,05 45 31 81 12,"",4 La Grange,46.0488488,0.3785376,2016-08-08
72336,72300,Mairie de Solesmes,Solesmes,mairie.solesmes@wanadoo.fr,02 43 95 45 11,http://www.solesmes72.fr,Place Madame-Cécile-Bruyère,47.850966,-0.305581,2016-08-08
88200,88390,Mairie de Gigney,Gigney,jerometh88@hotmail.fr,06 15 95 08 55,"",Rue de la Mairie,48.230579,6.3380229,2017-06-13
08440,08380,Mairie de Tarzy,Tarzy,commune.tarzy@wanadoo.fr,03 24 54 28 45,"",1 place de l'Église,"","",2017-09-11
80789,80320,Mairie de Vermandovillers,Vermandovillers,mairie.vermandovillers@orange.fr,+33 3 22 85 91 41,"",Rue Navierge,49.850861,2.7847813,2014-08-14
62809,62127,Mairie de Ternas,Ternas,mairieternas@wanadoo.fr,03 21 47 24 21,"",24 rue Buneville,50.3426952,2.3966939,2016-08-08
89023,89290,Mairie d'Augy,Augy,mairie-augy89@wanadoo.fr,03 86 53 85 90,http://www.augy89.fr,3 rue Paul-Visse,47.766998291,3.60952997208,2017-04-21
31258,31390,Mairie de Lacaugne,Lacaugne,mairiedelacaugne@orange.fr,05 61 87 86 98,"",1 place du Village,43.2868499756,1.27085697651,2017-10-09
22087,22110,Mairie de Kergrist-Moëlou,Kergrist-Moëlou,mairie-de-kergrist-moelou@wanadoo.fr,+33 2 96 36 50 11,"",Rue de l'Église,48.2346000671,-3.31564998627,2016-04-12
32260,32420,Mairie de Monbardon,Monbardon,commune.monbardon@orange.fr,05 62 66 99 62,"",Le Village,43.3817367554,0.709271013737,2017-10-09
89470,89160,Mairie de Villiers-les-Hauts,Villiers-les-Hauts,mairie-villiers-les-hauts@wanadoo.fr,03 86 75 03 66,"",25 rue Basse,47.7264573,4.1469807,2017-04-21
29285,29440,Mairie de Tréflaouénan,Tréflaouénan,mairiedetreflaouenan@wanadoo.fr,02 98 69 97 81,"",5 le Bourg,48.627879,-4.09654699999999,2017-02-21
16030,16300,Mairie de Barret,Barret,mairie.barret@wanadoo.fr,+33 5 45 78 06 03,"",Le Bourg,45.4441986084,-0.205491006374,2014-12-29
42130,42600,Mairie de Magneux-Haute-Rive,Magneux-Haute-Rive,mairie.magneuxhauterive@wanadoo.fr,04 77 76 10 76,"",Rue des Guenodes,45.6199989319,4.21124982834,2016-12-16
77004,77390,Mairie d'Andrezel,Andrezel,mairie.andrezel@wanadoo.fr,01 64 06 11 21,"",28 rue Martin-IV,48.6116065979,2.8135008812,2017-05-10
49234,49390,Mairie de Parçay-les-Pins,Parçay-les-Pins,mairiedeparcaylespins@wanadoo.fr,02 41 82 62 52,http://www.ville-parcaylespins.fr,17 rue de la Mairie,47.4372781,0.160259,2016-08-08
87063,87220,Mairie d'Eyjeaux,Eyjeaux,mairie.eyjeaux@orange.fr,05 55 00 27 81,http://www.eyjeaux.com,7 place de l'Église,45.7498754,1.43231430000003,2017-03-31
72188,72600,Mairie de Marollette,Marollette,mairie-marollette@wanadoo.fr,+33 2 43 97 95 92,"",3 rue de l'Église,48.3699226379,0.351790010929,2015-08-12
32071,32190,Mairie de Caillavet,Caillavet,mairie.caillavet@orange.fr,05 62 06 47 53,"",Le Village,43.712593,0.332328,2017-10-09
33095,33840,Mairie de Captieux,Captieux,contact@captieux.fr,05 56 65 60 31,http://www.captieux.fr,1 place du 8-Mai-1945,44.2920036316,-0.261849999428,2017-02-21
76628,76890,Mairie de Saint-Ouen-du-Breuil,Saint-Ouen-du-Breuil,mairiestouendubreuil@free.fr,02 35 32 58 02,http://www.stouendubreuil.fr,158 rue Gustave-Flaubert,49.633131,1.01966,2016-12-16
60030,60390,Mairie d'Auteuil,Auteuil,mairie.auteuil@orange.fr,+33 3 44 81 10 09,"",37 rue de Gournay,49.3414039612,2.08771204948,2015-07-08
74266,74310,Mairie de Servoz,Servoz,mairie.servoz@wanadoo.fr,04 50 47 21 51,"",90 rue du Bouchet,45.9400788,6.7678249,2016-12-16
84022,84110,Mairie de Buisson,Buisson,communebuisson@wanadoo.fr,04 90 28 90 20,http://mairie-buisson.com,23 rue de la Mairie,44.2799282,4.9978129,2016-07-06
39270,39100,Mairie de Jouhe,Jouhe,mairie.jouhe@gmail.com,03 84 79 06 45,"",1 place de la Mairie,47.1119995117,5.46144008636,2016-11-14
71098,71320,Mairie de Charbonnat,Charbonnat,mairie.de.charbonnat@wanadoo.fr,03 85 54 28 96,http://www.charbonnat.fr,Le Bourg,46.8036003113,4.10151004791,2017-04-21
38229,38243,Mairie de Meylan,Meylan Cedex,accueil-mairie@meylan.fr,04 76 41 59 00,http://www.meylan.fr,4 avenue du Vercors,45.209400177,5.77819013596,2016-12-16
88528,88460,Mairie de Xamontarupt,Xamontarupt,commune.xamontarupt@wanadoo.fr,03 29 33 20 21,"",10 le Village,48.1322975159,6.65243387222,2017-06-13
71532,71250,Mairie de Taizé,Taizé,mairie-taize@laposte.net,03 85 50 16 87,"",Le Bourg,46.4902000427,4.66988992691,2017-04-21
62447,62140,Mairie de Hesdin,Hesdin,secretariat@ville-hesdin.fr,03 21 86 84 76,http://www.ville-hesdin.fr,Place d'Armes,50.3730010986,2.03727006912,2016-08-08
61100,61270,Mairie de La Chapelle-Viel,La Chapelle-Viel,mairie.chapelleviel@wanadoo.fr,02 33 34 28 90,"",Le Bourg,48.7010307312,0.61960297823,2017-04-21
10133,10130,Mairie d'Eaux-Puiseaux,Eaux-Puiseaux,mairie@eaux-puiseaux.net,03 25 42 01 00,"",1 rue Largentier,48.1184997559,3.88846993446,2017-07-10
30140,30460,Mairie de Lasalle,Lasalle,mairielasalle@wanadoo.fr,04 66 85 20 34,http://www.lasalle.fr,Place Jean-Gazaix,44.045257,3.85401,2017-07-10
47228,47340,Mairie de Saint-Antoine-de-Ficalba,Saint-Antoine-de-Ficalba,mairie.ficalba@wanadoo.fr,05 53 41 70 98,http://www.stantoinedeficalba.org,3 square de la Mairie,44.3315793,0.7181973,2017-02-21
02013,02190,Mairie d'Amifontaine,Amifontaine,mairie@amifontaine.com,03 23 22 61 74,"",7 rue des Mégrets,49.4831390381,3.91606211662,2016-11-14
50121,50800,Mairie de La Chapelle-Cécelin,La Chapelle-Cécelin,mairie.la-chapelle-cecelin@wanadoo.fr,02 33 61 04 56,"",1 rue Michel-Harivel,48.8110351562,-1.161460042,2017-04-21
76046,76116,Mairie d'Auzouville-sur-Ry,Auzouville-sur-Ry,mairie-sg.auzouville.sur.ry@wanadoo.fr,+33 2 35 23 40 67,http://www.auzouvillesurry.fr/,"84, chemin de la Côte",49.4430007935,1.3108099699,2015-01-19
26124,26800,Mairie d'Étoile-sur-Rhône,Étoile-sur-Rhône,communication@mairie-etoilesurrhone.fr,04 75 60 69 50,http://www.ville-etoilesurrhone.fr,45 Grande rue,44.8374,4.89331,2016-12-16
35018,35420,Mairie de La Bazouge-du-Désert,La Bazouge-du-Désert,mairie.bazougedudesert@orange.fr,02 99 97 37 49,http://www.labazougedudesert.fr,11 rue Chanoine-Hélesbeux,48.4436645508,-1.10603904724,2017-02-21
08198,08250,Mairie de Grandpré,Grandpré,mairiegrandpre@wanadoo.fr,03 24 30 52 18,"",5 rue des Quatre-Frères-Tellier,49.3410158,4.8711345,2017-07-10
40077,40300,Mairie de Cauneille,Cauneille,mairie.cauneille@libertysurf.fr,+33 5 58 73 02 31,"",Le Bourg,43.5466995239,-1.06247997284,2016-02-08
04150,05130,Mairie de Piégut,Piégut,mairiedepiegut@orange.fr,04 92 54 15 14,http://www.mairie-piegut.fr,Rue Saint-Collomban,44.4547339,6.1284389,2017-07-10
89329,89430,Mairie de Rugny,Rugny,mairie-rugny@wanadoo.fr,03 86 75 29 13,"",15 Grande rue,47.8984985352,4.14816999435,2017-04-21
26161,26510,Mairie de Lemps,Lemps,mairie.lemps@ozone.net,04 75 27 85 01,"",Le Village,44.350293,5.418704,2016-12-16
02423,02380,Mairie de Leuilly-sous-Coucy,Leuilly-sous-Coucy,mleuillysouscoucy@orange.fr,+33 3 23 52 45 85,"",1 place du Château,49.4783501,3.3582391,2015-07-08
25342,25690,Mairie de Longechaux,LONGECHAUX,"",+33 3 81 58 37 78,"",rue Principale,47.1684341431,6.39246988297,2004-09-03
71409,71490,Mairie de Saint-Émiland,Saint-Émiland,mairie.stemiland@wanadoo.fr,03 85 49 66 03,http://www.saint-emiland.fr,23 avenue Général-de-Gaulle,46.904383,4.483567,2017-04-21
39407,39230,Mairie de Passenans,Passenans,mairie.passenans@sfr.fr,03 84 85 24 03,http://passenansmairie.jimdo.com,65 rue de l'Asile,46.8251991272,5.6442899704,2017-07-17
2B206,20290,Mairie de Penta-Acquatella,Penta-Acquatella,mairie.pentaacquatella@gmail.com,+33 4 95 36 25 97,http://www.penta-acquatella.fr,Hameau de Penta,42.464901,9.363631,2014-08-20
32036,32160,Mairie de Beaumarchés,Beaumarchés,mairie.beaumarches@wanadoo.fr,05 62 69 35 17,"",Place Maurice-Dubernet,43.58506999999999,0.08946500000001834,2017-10-09
